"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"389",,,,,,,,,,,"210.3851160422209"
"393","0.439336","1.210269","11.218032",,,,,,,,
"393",,,,,,,"8.8","-13.7","-35.2",,
"388",,,,"-0.7669904","-0.024501082","0.5496765",,,,,
"398","0.5410896","1.4137762","11.35091",,,,,,,,
"393",,,,"-0.6402239","-0.022370555","0.5028048",,,,,
"402",,,,,,,,,,,"212.46813249377803"
"402","0.5410896","1.4137762","11.35091",,,,,,,,
"397",,,,"-0.6402239","-0.022370555","0.5028048",,,,,
"404",,,,,,,"8.5","-13.5","-35.3",,
"411",,,,,,,,,,,"212.20736953164527"
"409","0.6596026","1.6017209","11.309011",,,,,,,,
"402",,,,"-0.34940675","0.017044231","0.386691",,,,,
"411","0.6596026","1.6017209","11.309011",,,,,,,,
"407",,,,"-0.34940675","0.017044231","0.386691",,,,,
"412",,,,,,,,,,"220.0",
"415","0.7613561","1.6005238","11.159374",,,,,,,,
"415",,,,,,,"8.3","-13.400001","-35.3",,
"412",,,,"-0.18748654","0.053263225","0.3270362",,,,,
"419","0.8439561","1.5897499","10.896012",,,,,,,,
"416",,,,"-0.02130529","0.09374327","0.27483824",,,,,
"419",,,,,,,,,,,"213.55809408152865"
"424","0.9780314","1.5993267","10.518925",,,,,,,,
"424",,,,,,,"8.2","-13.3","-35.5",,
"421",,,,"0.14594123","0.12996227","0.22690132",,,,,
"430","1.1444284","1.5825673","10.0664215",,,,,,,,
"426",,,,"0.3089267","0.1555286","0.18216023",,,,,
"430",,,,,,,,,,,"213.43771882759634"
"433","1.3180081","1.5143325","9.640253",,,,,,,,
"433",,,,,,,"8.0","-13.1","-35.600002",,
"430",,,,"0.45806372","0.165116","0.13635385",,,,,
"440","1.4281414","1.4700398","9.216479",,,,,,,,
"435",,,,"0.5901565","0.15233281","0.09267801",,,,,
"440",,,,,,,,,,,"214.27522296324497"
"443","1.4975731","1.3946224","8.826224",,,,,,,,
"443",,,,,,,"7.8","-13.0","-35.7",,
"440",,,,"0.70840085","0.12463594","0.049002163",,,,,
"449","1.5167267","1.3730747","8.505402",,,,,,,,
"444",,,,"0.8064052","0.08628642","0.002130529",,,,,
"449",,,,,,,,,,,"214.271206812013"
"453","1.5023615","1.3706805","8.380903",,,,,,,,
